SerialNo;Substation;datetime;P_GEN_MAX;P_GEN_MIN;P_GEN
3067E69020456129;Forest Road;01/10/2013 12:00;2.229;2.044;2.1365
3067E69020456129;Forest Road;01/10/2013 13:00;2.099;1.068;1.5835000000000001
3067E69020456129;Forest Road;01/10/2013 14:00;1.974;0.824;1.399
3067E69020456129;Forest Road;01/10/2013 15:00;1.552;0.547;1.0495
3067E69020456129;Forest Road;01/10/2013 16:00;0.498;0.267;0.3825
3067E69020456129;Forest Road;01/10/2013 17:00;0.258;0.096;0.177
3067E69020456129;Forest Road;01/10/2013 18:00;0.079;0.0;0.0395
3067E69020456129;Forest Road;01/10/2013 19:00;0.0;0.0;0.0
3067E69020456129;Forest Road;01/10/2013 20:00;0.0;0.0;0.0
3067E69020456129;Forest Road;01/10/2013 21:00;0.0;0.0;0.0
3067E69020456129;Forest Road;01/10/2013 22:00;0.0;0.0;0.0
3067E69020456129;Forest Road;01/10/2013 23:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 00:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 01:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 02:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 03:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 04:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 05:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 06:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 07:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 08:00;0.049;0.003;0.026000000000000002
3067E69020456129;Forest Road;02/10/2013 09:00;0.283;0.075;0.179
3067E69020456129;Forest Road;02/10/2013 10:00;0.565;0.178;0.37149999999999994
3067E69020456129;Forest Road;02/10/2013 11:00;0.485;0.155;0.32
3067E69020456129;Forest Road;02/10/2013 12:00;0.334;0.111;0.2225
3067E69020456129;Forest Road;02/10/2013 13:00;0.256;0.14;0.198
3067E69020456129;Forest Road;02/10/2013 14:00;0.318;0.099;0.20850000000000002
3067E69020456129;Forest Road;02/10/2013 15:00;0.196;0.099;0.14750000000000002
3067E69020456129;Forest Road;02/10/2013 16:00;0.119;0.045;0.08199999999999999
3067E69020456129;Forest Road;02/10/2013 17:00;0.209;0.047;0.128
3067E69020456129;Forest Road;02/10/2013 18:00;0.034;0.0;0.017
3067E69020456129;Forest Road;02/10/2013 19:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 20:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 21:00;0.0;0.0;0.0
3067E69020456129;Forest Road;02/10/2013 22:00;0.0;0.0;0.0
